ind;Corpus;Volume;Date;Type1
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12830814.jpg_full_full_0_default.jpg;MOMCA;;1283;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12840309.jpg_full_full_0_default.jpg;MOMCA;;1284;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12840424.jpg_full_full_0_default.jpg;MOMCA;;1284;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12841013.jpg_full_full_0_default.jpg;MOMCA;;1284;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12850118.jpg_full_full_0_default.jpg;MOMCA;;1285;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12860519-1.jpg_full_full_0_default.jpg;MOMCA;;1286;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12860519-2.jpg_full_full_0_default.jpg;MOMCA;;1286;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_1287.jpg_full_full_0_default.jpg;MOMCA;;1287;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12870101.jpg_full_full_0_default.jpg;MOMCA;;1287;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12871113.jpg_full_full_0_default.jpg;MOMCA;;1287;Pape
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12880310.jpg_full_full_0_default.jpg;MOMCA;;1288;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12880405.jpg_full_full_0_default.jpg;MOMCA;;1288;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12881013.jpg_full_full_0_default.jpg;MOMCA;;1288;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12881028.jpg_full_full_0_default.jpg;MOMCA;;1288;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12890110.jpg_full_full_0_default.jpg;MOMCA;;1289;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12890408.jpg_full_full_0_default.jpg;MOMCA;;1289;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12891013.jpg_full_full_0_default.jpg;MOMCA;;1289;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12900509.jpg_full_full_0_default.jpg;MOMCA;;1290;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12900509-1.jpg_full_full_0_default.jpg;MOMCA;;1290;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12900509-2.jpg_full_full_0_default.jpg;MOMCA;;1290;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12900527.jpg_full_full_0_default.jpg;MOMCA;;1290;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12900713.jpg_full_full_0_default.jpg;MOMCA;;1290;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12900924.jpg_full_full_0_default.jpg;MOMCA;;1290;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12901203.jpg_full_full_0_default.jpg;MOMCA;;1290;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12910108.jpg_full_full_0_default.jpg;MOMCA;;1291;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12910409-1.jpg_full_full_0_default.jpg;MOMCA;;1291;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12910409-2.jpg_full_full_0_default.jpg;MOMCA;;1291;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12910421.jpg_full_full_0_default.jpg;MOMCA;;1291;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12910530.jpg_full_full_0_default.jpg;MOMCA;;1291;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12910926.jpg_full_full_0_default.jpg;MOMCA;;1291;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12920323.jpg_full_full_0_default.jpg;MOMCA;;1292;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12920404.jpg_full_full_0_default.jpg;MOMCA;;1292;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12930322.jpg_full_full_0_default.jpg;MOMCA;;1293;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12931011.jpg_full_full_0_default.jpg;MOMCA;;1293;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12931123.jpg_full_full_0_default.jpg;MOMCA;;1293;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12931213-1.jpg_full_full_0_default.jpg;MOMCA;;1293;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12931213-2.jpg_full_full_0_default.jpg;MOMCA;;1293;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12940512.jpg_full_full_0_default.jpg;MOMCA;;1294;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12940611.jpg_full_full_0_default.jpg;MOMCA;;1294;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12940616.jpg_full_full_0_default.jpg;MOMCA;;1294;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12950313-1.jpg_full_full_0_default.jpg;MOMCA;;1295;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12950313-2.jpg_full_full_0_default.jpg;MOMCA;;1295;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12950313-3.jpg_full_full_0_default.jpg;MOMCA;;1295;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12950601.jpg_full_full_0_default.jpg;MOMCA;;1295;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_1296.jpg_full_full_0_default.jpg;MOMCA;;1296;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_1297.jpg_full_full_0_default.jpg;MOMCA;;1297;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12971107.jpg_full_full_0_default.jpg;MOMCA;;1297;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12971111.jpg_full_full_0_default.jpg;MOMCA;;1297;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12990105.jpg_full_full_0_default.jpg;MOMCA;;1299;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12990105v.jpg_full_full_0_default.jpg;MOMCA;;1299;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12990525.jpg_full_full_0_default.jpg;MOMCA;;1299;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_13000327.jpg_full_full_0_default.jpg;MOMCA;;1300;
